category	location	match
header_redirect	./automation_graph_rules.php:283			header('Location: automation_graph_rules.php?action=edit&id=' . (empty($rule_id) ? gnrv('id') : $rule_id));
header_redirect	./automation_graph_rules.php:317						header('Location: automation_graph_rules.php?header=false&action=edit&id=' . grv('id'));
header_redirect	./automation_graph_rules.php:337				header('Location: automation_graph_rules.php?action=item_edit&id=' . grv('id') . '&item_id=' . ($item_id === null ? grv('item_id') : $item_id) . '&rule_type=' . AUTOMATION_RULE_TYPE_GRAPH_ACTION);
header_redirect	./automation_graph_rules.php:339				header('Location: automation_graph_rules.php?action=edit&id=' . grv('id') . '&rule_type=' . AUTOMATION_RULE_TYPE_GRAPH_ACTION);
header_redirect	./automation_graph_rules.php:367				header('Location: automation_graph_rules.php?header=false&action=edit&id=' . grv('id') . '&rule_type=' . AUTOMATION_RULE_TYPE_GRAPH_ACTION);
header_redirect	./automation_graph_rules.php:385				header('Location: automation_graph_rules.php?action=item_edit&id=' . grv('id') . '&item_id=' . ($item_id === null ? grv('item_id') : $item_id) . '&rule_type=' . AUTOMATION_RULE_TYPE_GRAPH_MATCH);
header_redirect	./automation_graph_rules.php:387				header('Location: automation_graph_rules.php?action=edit&id=' . grv('id') . '&rule_type=' . AUTOMATION_RULE_TYPE_GRAPH_MATCH);
header_redirect	./automation_graph_rules.php:391			header('Location: automation_graph_rules.php');
header_redirect	./automation_graph_rules.php:459			header('Location: automation_graph_rules.php');
header_redirect	./automation_graph_rules.php:69			header('Location: automation_graph_rules.php?action=edit&id=' . gfrv('id'));
header_redirect	./automation_graph_rules.php:75			header('Location: automation_graph_rules.php?action=edit&id=' . gfrv('id'));
header_redirect	./automation_graph_rules.php:81			header('Location: automation_graph_rules.php?action=edit&id=' . gfrv('id'));
header_redirect	./automation_graph_rules.php:93			header('Location: automation_graph_rules.php?action=edit&name=' . grv('name') . '&id=' . gfrv('id') . '&snmp_query_id=' . grv('snmp_query_id'));
header_redirect	./automation_graph_rules.php:99			header('Location: automation_graph_rules.php');
header_redirect	./automation_networks.php:214		header('Location: automation_networks.php?action=import');
header_redirect	./automation_networks.php:223			header('Location: automation_networks.php?action=edit&id=' . (empty($network_id) ? gnrv('id') : $network_id));
header_redirect	./automation_networks.php:512			header('Location: automation_networks.php');
header_redirect	./automation_snmp.php:264		header('Location: automation_snmp.php?action=import');
header_redirect	./automation_snmp.php:289			header('Location: automation_snmp.php?action=edit&id=' . (empty($id) ? gnrv('id') : $id));
header_redirect	./automation_snmp.php:330				header('Location: automation_snmp.php?action=item_edit&id=' . gnrv('id') . '&item_id=' . ($item_id === null ? gfrv('id') : $item_id));
header_redirect	./automation_snmp.php:332				header('Location: automation_snmp.php?action=edit&id=' . gnrv('id'));
header_redirect	./automation_snmp.php:336			header('Location: automation_snmp.php');
header_redirect	./automation_snmp.php:384			header('Location: automation_snmp.php');
header_redirect	./automation_snmp.php:501		header('Location: automation_snmp.php?action=edit&id=' . grv('id'));
header_redirect	./automation_snmp.php:75			header('Location: automation_snmp.php?action=edit&id=' . grv('id'));
header_redirect	./automation_snmp.php:83			header('Location: automation_snmp.php?action=edit&id=' . grv('id'));
header_redirect	./automation_snmp.php:95			header('Location: automation_snmp.php?action=edit&id=' . grv('id'));
header_redirect	./automation_templates.php:107			header('Location: automation_templates.php?action=edit&id=' . gfrv('template_id'));
header_redirect	./automation_templates.php:113			header('Location: automation_templates.php?action=edit&id=' . gfrv('template_id'));
header_redirect	./automation_templates.php:119			header('Location: automation_templates.php?action=edit&id=' . gfrv('template_id'));
header_redirect	./automation_templates.php:129			header('Location: automation_templates.php?action=edit&id=' . gfrv('template_id'));
header_redirect	./automation_templates.php:135			header('Location: automation_templates.php?action=edit&id=' . gfrv('id'));
header_redirect	./automation_templates.php:141			header('Location: automation_templates.php');
header_redirect	./automation_templates.php:147			header('Location: automation_templates.php');
header_redirect	./automation_templates.php:153			header('Location: automation_templates.php');
header_redirect	./automation_templates.php:315		header('Location: automation_templates.php?action=import');
header_redirect	./automation_templates.php:342		header('Location: automation_templates.php');
header_redirect	./automation_templates.php:441		header('Location: automation_templates.php?action=edit&id=' . grv('id'));
header_redirect	./automation_templates.php:472		header('Location: automation_templates.php?action=edit&id=' . grv('id'));
header_redirect	./automation_templates.php:487		header('Location: automation_templates.php?action=edit&id=' . $template_id);
header_redirect	./automation_templates.php:609			header('Location: automation_templates.php');
header_redirect	./automation_templates.php:687				header('Location: automation_templates.php?id=' . (empty($template_id) ? gnrv('id') : $template_id));
header_redirect	./automation_templates.php:689				header('Location: automation_templates.php');
header_redirect	./automation_templates.php:77			header('Location: automation_templates.php?action=edit&id=' . gfrv('template_id'));
header_redirect	./automation_templates.php:83			header('Location: automation_templates.php?action=edit&id=' . gfrv('template_id'));
header_redirect	./automation_templates.php:93			header('Location: automation_templates.php?action=edit&id=' . gfrv('template_id'));
header_redirect	./automation_tree_rules.php:100			header('Location: automation_tree_rules.php');
header_redirect	./automation_tree_rules.php:150			header('Location: automation_tree_rules.php');
header_redirect	./automation_tree_rules.php:269		header('Location: automation_tree_rules.php?action=import');
header_redirect	./automation_tree_rules.php:299			header('Location: automation_tree_rules.php?action=edit&id=' . (empty($rule_id) ? grv('id') : $rule_id));
header_redirect	./automation_tree_rules.php:325				header('Location: automation_tree_rules.php?header=false&action=item_edit&id=' . grv('id') . '&item_id=' . grv('item_id') . '&rule_type=' . AUTOMATION_RULE_TYPE_TREE_MATCH);
header_redirect	./automation_tree_rules.php:341				header('Location: automation_tree_rules.php?action=item_edit&id=' . grv('id') . '&item_id=' . grv('item_id') . '&rule_type=' . AUTOMATION_RULE_TYPE_TREE_MATCH);
header_redirect	./automation_tree_rules.php:343				header('Location: automation_tree_rules.php?action=edit&id=' . grv('id') . '&rule_type=' . AUTOMATION_RULE_TYPE_TREE_MATCH);
header_redirect	./automation_tree_rules.php:376				header('Location: automation_tree_rules.php?action=item_edit&id=' . grv('id') . '&item_id=' . ($automation_graph_rule_item_id === null ? grv('item_id') : $automation_graph_rule_item_id) . '&rule_type=' . AUTOMATION_RULE_TYPE_TREE_ACTION);
header_redirect	./automation_tree_rules.php:378				header('Location: automation_tree_rules.php?action=edit&id=' . grv('id') . '&rule_type=' . AUTOMATION_RULE_TYPE_TREE_ACTION);
header_redirect	./automation_tree_rules.php:382			header('Location: automation_tree_rules.php');
header_redirect	./automation_tree_rules.php:443			header('Location: automation_tree_rules.php');
header_redirect	./automation_tree_rules.php:70			header('Location: automation_tree_rules.php?action=edit&id=' . grv('id'));
header_redirect	./automation_tree_rules.php:76			header('Location: automation_tree_rules.php?action=edit&id=' . grv('id'));
header_redirect	./automation_tree_rules.php:82			header('Location: automation_tree_rules.php?action=edit&id=' . grv('id'));
header_redirect	./automation_tree_rules.php:88			header('Location: automation_tree_rules.php?action=edit&id=' . grv('id'));
header_redirect	./cache/index.php:25	header('Location:../index.php');
header_redirect	./cdef.php:137			header('Location: cdef.php?action=edit&id=' . (empty($cdef_id) ? gnrv('id') : $cdef_id));
header_redirect	./cdef.php:167				header('Location: cdef.php?action=item_edit&cdef_id=' . gnrv('cdef_id') . '&id=' . ($cdef_item_id === null ? gnrv('id') : $cdef_item_id));
header_redirect	./cdef.php:169				header('Location: cdef.php?action=edit&id=' . gnrv('cdef_id'));
header_redirect	./cdef.php:234			header('Location: cdef.php');
header_redirect	./cdef.php:52			header('Location: cdef.php?action=edit&id=' . grv('cdef_id'));
header_redirect	./cdef.php:545		header('Location: cdef.php?action=edit&id=' . grv('id'));
header_redirect	./cdef.php:60			header('Location: cdef.php?action=edit&id=' . grv('cdef_id'));
header_redirect	./cdef.php:68			header('Location: cdef.php?action=edit&id=' . grv('cdef_id'));
header_redirect	./cli/index.php:25	header('Location:../index.php');
header_redirect	./clog.php:35			header('Location: logout.php?action=remote');
header_redirect	./clog.php:37			header('Location: permission_denied.php');
header_redirect	./clog_user.php:34			header('Location: logout.php?action=remote');
header_redirect	./clog_user.php:36			header('Location: permission_denied.php');
header_redirect	./color.php:102				header('Location: color.php?action=edit&id=' . (empty($color_id) ? gnrv('id') : $color_id));
header_redirect	./color.php:104				header('Location: color.php');
header_redirect	./color.php:116					header('Location: color.php?action=import');
header_redirect	./color.php:121				header('Location: color.php?action=import');
header_redirect	./color.php:145			header('Location: color.php');
header_redirect	./color_templates.php:209			header('Location: color_templates.php?action=template_edit&color_template_id=' . (empty($color_template_id) ? gnrv('color_template_id') : $color_template_id));
header_redirect	./color_templates.php:245				header('Location: color_templates.php?action=item_edit&color_template_item_id=' . (empty($color_template_item_id) ? gnrv('color_template_item_id') : $color_template_item_id) . '&color_template_id=' . gnrv('color_template_id'));
header_redirect	./color_templates.php:249				header('Location: color_templates.php?action=template_edit&color_template_id=' . gnrv('color_template_id'));
header_redirect	./color_templates.php:286			header('Location: color_templates.php');
header_redirect	./color_templates.php:376		header('Location: color_templates.php?action=template_edit&color_template_id=' . grv('id'));
header_redirect	./color_templates.php:64			header('Location: color_templates.php?action=template_edit&color_template_id=' . grv('id'));
header_redirect	./color_templates.php:72			header('Location: color_templates.php?action=template_edit&color_template_id=' . grv('color_template_id'));
header_redirect	./color_templates.php:80			header('Location: color_templates.php?action=template_edit&color_template_id=' . grv('color_template_id'));
header_redirect	./color_templates_items.php:123				header('Location: color_templates_items.php?header=false&action=item_edit&color_template_item_id=' . (empty($color_template_item_id) ? get_nfilter_request_var('color_template_item_id') : $color_template_item_id) . '&color_template_id=' . get_nfilter_request_var('color_template_id'));
header_redirect	./color_templates_items.php:126				header('Location: color_templates.php?header=false&action=template_edit&color_template_id=' . get_nfilter_request_var('color_template_id'));
header_redirect	./color_templates_items.php:160		header('Location: color_templates.php?action=template_edit&header=false&color_template_id=' . get_request_var('id'));
header_redirect	./color_templates_items.php:282			header('Location: ' . validate_redirect_url(isset($_SERVER['HTTP_REFERER']) ? $_SERVER['HTTP_REFERER'] : 'color_templates.php', 'color_templates.php'));
header_redirect	./color_templates_items.php:48			header('Location: color_templates.php?header=false&action=template_edit&color_template_id=' . get_request_var('id'));
header_redirect	./color_templates_items.php:56			header('Location: color_templates.php?header=false&action=template_edit&color_template_id=' . get_request_var('color_template_id'));
header_redirect	./color_templates_items.php:64			header('Location: color_templates.php?header=false&action=template_edit&color_template_id=' . get_request_var('color_template_id'));
header_redirect	./contrib/index.php:25	header('Location:../index.php');
header_redirect	./data_debug.php:244					header('Location: data_debug.php?header=false&debug=-1');
header_redirect	./data_debug.php:247					header('Location: data_debug.php?header=false&debug=1');
header_redirect	./data_debug.php:53				header('Location: data_debug.php?action=view&id=' . get_filter_request_var('id'));
header_redirect	./data_debug.php:76				header('Location: data_debug.php?action=view&id=' . get_filter_request_var('id'));
header_redirect	./data_input.php:122			header('Location: data_input.php?action=edit&id=' . (empty($data_input_id) ? gnrv('id') : $data_input_id));
header_redirect	./data_input.php:162				header('Location: data_input.php?action=field_edit&data_input_id=' . grv('data_input_id') . '&id=' . (empty($data_input_field_id) ? grv('id') : $data_input_field_id) . (!ierv('input_output') ? '&type=' . grv('input_output') : ''));
header_redirect	./data_input.php:164				header('Location: data_input.php?action=edit&id=' . grv('data_input_id'));
header_redirect	./data_input.php:219			header('Location: data_input.php');
header_redirect	./data_input.php:434			header('Location: data_input.php?action=edit&id=' . gfrv('data_input_id'));
header_redirect	./data_input.php:499				header('Location: data_input.php');
header_redirect	./data_input.php:55			header('Location: data_input.php?action=edit&id=' . gfrv('data_input_id'));
header_redirect	./data_queries.php:1103				header('Location: data_queries.php');
header_redirect	./data_queries.php:151			header('Location: data_queries.php?action=edit&id=' . (empty($snmp_query_id) ? grv('id') : $snmp_query_id));
header_redirect	./data_queries.php:226			header('Location: data_queries.php?action=item_edit&id=' . (empty($snmp_query_graph_id) ? grv('id') : $snmp_query_graph_id) . '&snmp_query_id=' . grv('snmp_query_id'));
header_redirect	./data_queries.php:236				header('Location: data_queries.php?action=item_edit&id=' . grv('id') . '&snmp_query_id=' . grv('snmp_query_id'));
header_redirect	./data_queries.php:243				header('Location: data_queries.php?action=item_edit&id=' . grv('id') . '&snmp_query_id=' . grv('snmp_query_id'));
header_redirect	./data_queries.php:272			header('Location: data_queries.php?action=item_edit&id=' . grv('id') . '&snmp_query_id=' . grv('snmp_query_id'));
header_redirect	./data_queries.php:286					header('Location: data_queries.php?action=item_edit&id=' . grv('id') . '&snmp_query_id=' . grv('snmp_query_id'));
header_redirect	./data_queries.php:293					header('Location: data_queries.php?action=item_edit&id=' . grv('id') . '&snmp_query_id=' . grv('snmp_query_id'));
header_redirect	./data_queries.php:322				header('Location: data_queries.php?action=item_edit&id=' . grv('id') . '&snmp_query_id=' . grv('snmp_query_id'));
header_redirect	./data_queries.php:352			header('Location: data_queries.php');
header_redirect	./data_queries.php:50			header('Location: data_queries.php?action=item_edit&id=' . gfrv('snmp_query_graph_id') . '&snmp_query_id=' . gfrv('snmp_query_id'));
header_redirect	./data_queries.php:56			header('Location: data_queries.php?action=item_edit&id=' . gfrv('snmp_query_graph_id') . '&snmp_query_id=' . gfrv('snmp_query_id'));
header_redirect	./data_queries.php:62			header('Location: data_queries.php?action=item_edit&id=' . gfrv('snmp_query_graph_id') . '&snmp_query_id=' . gfrv('snmp_query_id'));
header_redirect	./data_queries.php:68			header('Location: data_queries.php?action=item_edit&id=' . gfrv('snmp_query_graph_id') . '&snmp_query_id=' . gfrv('snmp_query_id'));
header_redirect	./data_queries.php:74			header('Location: data_queries.php?action=item_edit&id=' . gfrv('snmp_query_graph_id') . '&snmp_query_id=' . gfrv('snmp_query_id'));
